Spool ID,Block,X1,X2,X3,X4,Run,YS/UTS (percent)
2,1,0,0,0,0,1,93.3
26,1,1,0,0,1,2,92.5
9,1,0,1,0,1,3,92.9
35,1,1,1,0,0,4,93.5
11,1,0,0,1,1,5,93.2
36,1,1,0,1,0,6,92.4
5,1,0,1,1,0,7,93.7
29,1,1,1,1,1,8,92.9
3,2,0,0,0,0,1,94
27,2,1,0,0,1,2,93.4
7,2,0,1,0,1,3,94.4
34,2,1,1,0,0,4,94.9
8,2,0,0,1,1,5,92.3
33,2,1,0,1,0,6,92.6
4,2,0,1,1,0,7,93.5
30,2,1,1,1,1,8,92.4
6,3,0,0,0,0,1,93
28,3,1,0,0,1,2,94.7
12,3,0,1,0,1,3,92
37,3,1,1,0,0,4,94.5
10,3,0,0,1,1,5,94.5
32,3,1,0,1,0,6,92.7
1,3,0,1,1,0,7,92.6
31,3,1,1,1,1,8,92.8
2,1,0,0,0,0,1,93.2
26,1,1,0,0,1,2,92.8
9,1,0,1,0,1,3,92.9
35,1,1,1,0,0,4,93.8
11,1,0,0,1,1,5,93.7
36,1,1,0,1,0,6,92.9
5,1,0,1,1,0,7,92.8
29,1,1,1,1,1,8,94
3,2,0,0,0,0,1,93.5
27,2,1,0,0,1,2,93
7,2,0,1,0,1,3,93.8
34,2,1,1,0,0,4,93.9
8,2,0,0,1,1,5,90.3
33,2,1,0,1,0,6,92.8
4,2,0,1,1,0,7,92.2
30,2,1,1,1,1,8,93.3
6,3,0,0,0,0,1,92.9
28,3,1,0,0,1,2,94.4
12,3,0,1,0,1,3,93.1
37,3,1,1,0,0,4,94.8
10,3,0,0,1,1,5,93.9
32,3,1,0,1,0,6,91.7
1,3,0,1,1,0,7,92.9
31,3,1,1,1,1,8,92.4
2,1,0,0,0,0,1,92.5
26,1,1,0,0,1,2,93.2
9,1,0,1,0,1,3,93.5
35,1,1,1,0,0,4,94.3
11,1,0,0,1,1,5,93.5
36,1,1,0,1,0,6,92.9
5,1,0,1,1,0,7,92.9
29,1,1,1,1,1,8,92.6
3,2,0,0,0,0,1,92.8
27,2,1,0,0,1,2,92.8
7,2,0,1,0,1,3,93.7
34,2,1,1,0,0,4,94.2
8,2,0,0,1,1,5,91.5
33,2,1,0,1,0,6,92.8
4,2,0,1,1,0,7,93.2
30,2,1,1,1,1,8,91.8
6,3,0,0,0,0,1,93
28,3,1,0,0,1,2,93.8
12,3,0,1,0,1,3,92.6
37,3,1,1,0,0,4,94.1
10,3,0,0,1,1,5,94.5
32,3,1,0,1,0,6,91.8
1,3,0,1,1,0,7,93.1
31,3,1,1,1,1,8,92.6
2,1,0,0,0,0,1,93.4
26,1,1,0,0,1,2,92.3
9,1,0,1,0,1,3,93
35,1,1,1,0,0,4,94
11,1,0,0,1,1,5,93.4
36,1,1,0,1,0,6,92.3
5,1,0,1,1,0,7,93.2
29,1,1,1,1,1,8,94
3,2,0,0,0,0,1,93.7
27,2,1,0,0,1,2,94
7,2,0,1,0,1,3,93.7
34,2,1,1,0,0,4,94.6
8,2,0,0,1,1,5,92.5
33,2,1,0,1,0,6,93.1
4,2,0,1,1,0,7,94.2
30,2,1,1,1,1,8,92.3
6,3,0,0,0,0,1,91.5
28,3,1,0,0,1,2,95
12,3,0,1,0,1,3,92.8
37,3,1,1,0,0,4,93.4
10,3,0,0,1,1,5,94.2
32,3,1,0,1,0,6,91.1
1,3,0,1,1,0,7,93
31,3,1,1,1,1,8,92.7
2,1,0,0,0,0,1,93
26,1,1,0,0,1,2,93.2
9,1,0,1,0,1,3,93.5
35,1,1,1,0,0,4,94.6
11,1,0,0,1,1,5,92.9
36,1,1,0,1,0,6,92.3
5,1,0,1,1,0,7,93.9
29,1,1,1,1,1,8,93.6
3,2,0,0,0,0,1,92.8
27,2,1,0,0,1,2,94
7,2,0,1,0,1,3,93.8
34,2,1,1,0,0,4,94.4
8,2,0,0,1,1,5,92.3
33,2,1,0,1,0,6,93.8
4,2,0,1,1,0,7,93.6
30,2,1,1,1,1,8,92.6
6,3,0,0,0,0,1,91.7
28,3,1,0,0,1,2,95
12,3,0,1,0,1,3,93.8
37,3,1,1,0,0,4,94.5
10,3,0,0,1,1,5,94.6
32,3,1,0,1,0,6,91.3
1,3,0,1,1,0,7,93.1
31,3,1,1,1,1,8,92.4
